Data Source in SDW: http://sdw.ecb.europa.eu/browseSelection.do?df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=MA&activeTab=&REF_AREA=U2&BLS_ITEM=BC&BLS_ITEM=BSC&BLS_ITEM=CMP&BLS_ITEM=CP&BLS_ITEM=GEA&BLS_ITEM=IFO&BLS_ITEM=LP&BLS_ITEM=MF&BLS_ITEM=MFC&BLS_ITEM=NBC&BLS_ITEM=RCD&BLS_ITEM=RTO&BLS_COUNT_DETAIL=Z&EFFECT_DOMAIN=MA&EFFECT_DOMAIN=ST&BLS_AGG_METHOD=BWDINX&BLS_ITEM=BC&BLS_ITEM=BSC&BLS_ITEM=CMP&BLS_ITEM=CP&BLS_ITEM=GEA&BLS_ITEM=IFO&BLS_ITEM=LP&BLS_ITEM=MF&BLS_ITEM=MFC&BLS_ITEM=NBC&BLS_ITEM=RCD&BLS_ITEM=RTO&BLS_COUNT_DETAIL=Z&EFFECT_DOMAIN=ST&BLS_AGG_METHOD=BWDINX&node=9691600
,BLS.Q.U2.ALL.BC.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.CP.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.GEA.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.IFO.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.LP.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.MF.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.MFC.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.NBC.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.RCD.E.Z.B3.ST.S.BWDINX,BLS.Q.U2.ALL.RTO.E.Z.B3.ST.S.BWDINX
2014Q2,-6.27,0.49,-3.25,0.04,-1.08,-0.61,-2.01,-1.90,0.15,-
2014Q1,-3.57,-0.04,0.76,2.13,-1.43,-0.07,0.00,0.00,1.05,-
2013Q4,-3.08,0.65,1.79,5.24,-3.33,-0.26,-1.24,-0.24,1.69,-
2013Q3,-6.32,1.66,5.49,9.94,-1.58,-0.79,-0.25,0.00,2.44,-
2013Q2,-2.04,2.18,9.48,12.06,-1.09,0.01,-0.78,-0.05,3.82,-
2013Q1,0.66,5.51,12.70,15.28,1.18,2.69,0.00,0.00,3.92,-
2012Q4,-1.11,4.53,17.00,16.33,-0.81,2.40,0.00,-0.30,3.70,-
2012Q3,-2.33,5.28,10.62,13.98,1.25,2.39,0.00,0.00,4.69,-
2012Q2,-6.00,6.04,8.52,11.78,1.43,3.46,-0.30,-0.30,6.39,-
2012Q1,0.96,10.01,19.99,17.29,16.08,16.09,0.16,0.16,9.53,-
2011Q4,-1.92,5.84,8.51,10.95,7.76,11.00,0.30,0.55,4.20,-
2011Q3,-5.28,3.68,6.26,4.20,5.20,5.24,-0.47,-0.21,3.24,-
2011Q2,-2.95,1.92,4.14,1.99,5.36,5.44,-1.83,0.81,1.65,-
2011Q1,-7.04,2.71,2.54,0.85,1.60,1.44,-1.57,-0.25,3.05,-
2010Q4,-4.99,2.88,4.01,5.67,0.63,1.37,-2.57,-1.29,4.64,-
2010Q3,-5.00,2.25,3.32,5.30,2.12,4.74,0.00,0.00,3.86,-
2010Q2,-5.13,2.79,4.23,10.12,-1.95,0.98,-1.26,-1.35,1.71,-
2010Q1,-1.54,4.89,5.25,10.62,-2.71,-1.35,-0.14,0.41,6.12,-
2009Q4,-2.36,3.59,14.28,22.09,-4.12,-1.44,-0.98,-0.61,8.80,-
2009Q3,1.16,7.08,29.21,33.19,-0.62,4.51,0.46,0.70,15.02,-
2009Q2,3.52,12.56,35.78,39.16,6.64,12.24,1.50,1.44,18.83,-
2009Q1,4.56,16.97,45.64,45.55,13.43,21.67,1.50,2.54,22.55,-
2008Q4,4.05,11.75,40.86,41.71,15.18,19.53,3.79,2.92,19.73,-
2008Q3,3.42,10.26,28.80,34.08,8.94,14.89,3.68,2.96,11.72,-
2008Q2,2.44,11.87,26.36,26.79,13.73,17.66,5.88,3.36,10.44,-
2008Q1,4.83,7.32,21.41,15.91,11.56,10.65,8.87,5.59,11.38,-
2007Q4,2.88,8.28,12.40,12.43,6.96,9.37,4.49,2.27,7.23,-
2007Q3,-16.98,1.12,-3.64,-0.48,0.65,0.00,-2.15,-1.44,0.37,-
2007Q2,-9.81,0.90,-1.74,0.76,0.32,0.30,-0.14,-3.40,0.33,-
2007Q1,-14.00,1.88,-1.70,0.70,-0.51,1.20,-0.81,-0.81,-0.24,-
2006Q4,-13.60,3.62,0.32,5.27,0.33,0.12,-0.82,0.00,0.43,-
2006Q3,-12.23,4.12,2.10,5.33,0.16,2.70,0.31,0.39,1.57,-
2006Q2,-15.55,0.23,-1.14,2.95,-1.22,-1.17,-1.16,-1.15,1.10,-
2006Q1,-13.42,3.69,1.99,4.30,0.27,0.90,-1.89,-0.34,-0.70,-
2005Q4,-14.70,3.58,7.22,5.41,0.61,1.54,-2.68,-0.34,0.31,-
2005Q3,-18.59,0.83,2.87,4.00,-1.09,-0.06,-2.77,-3.33,0.31,-
2005Q2,-19.17,2.33,0.97,7.14,-0.55,0.26,-2.78,-2.36,1.50,-
2005Q1,-9.72,2.50,7.07,7.86,-0.36,-1.28,-1.12,-0.40,1.55,-
2004Q4,-10.34,2.55,0.82,5.29,-1.12,-1.38,-2.73,-0.27,-0.13,-
2004Q3,-7.30,1.41,1.19,2.88,1.03,0.73,-2.23,0.85,1.05,-
2004Q2,-8.88,4.32,6.69,9.10,-0.53,2.02,-2.20,-0.88,6.13,-
2004Q1,-8.50,6.40,1.80,10.99,0.18,-0.63,-0.58,-0.84,5.17,-
2003Q4,-4.07,5.08,17.93,24.16,1.42,1.98,2.16,1.61,9.32,-
2003Q3,-2.60,3.87,29.32,30.55,0.33,3.71,0.76,-0.32,12.59,-
2003Q2,-0.97,10.88,42.64,39.16,3.22,10.68,0.18,-2.90,16.11,-
2003Q1,1.75,19.27,46.02,50.87,7.81,10.60,4.46,-1.61,31.21,-
